"rfam_acc","description","clen"
"RF02581","S. aureus tsr32 small RNA",151
"RF02625","Wolbachia sRNA 46",151
"RF00444","PrrF RNA",150
"RF00550","Hepatitis E virus cis-reactive element",150
"RF01087","Pseudoknot of the regulatory region of the repZ gene",150
"RF01470","Listeria sRNA rli38",150
"RF01909","CDKN2B antisense RNA 1 intronic convserved region",150
"RF02062","Salmonella enterica sRNA STnc361",150
"RF02157","NPPA antisense RNA 1 conserved region 2",150
"RF02482","Small nucleolar RNA GlsR19",150
"RF02485","Small nucleolar RNA GlsR22",150
"RF02529","Streptococcus sRNA SSRC8",150
"RF02890","Small pathogenicity island RNA C (srn_3610)",150
"RF02995","IMES-5 RNA",150
"RF03045","proV RNA",149
"RF00484","Connexin-32 internal ribosome entry site (IRES)",149
"RF01292","Small nucleolar RNA snoR2/U65",149
"RF01430","small nucleolar RNA snoR134",149
"RF01479","Listeria sRNA rli48",149
"RF01482","AdoCbl riboswitch",149
"RF01500","A. fumigatus snoRNA Afu_198",149
"RF01508","Barley yellow dwarf virus 5'UTR",149
"RF01754","radC RNA",149
"RF02036","IMES-3 RNA motif",149
"RF02069","Enterobacterial sRNA STnc70",149
"RF02343","Alphaproteobacterial sRNA ar9",149
"RF02486","Small nucleolar RNA GlsR23",149
"RF00191","Small nucleolar RNA SNORA57",148
"RF00512","Leucine operon leader",148
"RF00586","Small nucleolar RNA SNORA12",148
"RF01398","isrP Hfq binding RNA",148
"RF01451","small nucleolar RNA snR97",148
"RF01775","RNA S.aureus Orsay G",148
"RF02012","Group II catalytic intron D1-D4-7",148
"RF02347","Alphaproteobacterial sRNA ar45",148
"RF02561","Coxiella burnetii sRNA 12",148
"RF02632","Hfq-regulated sRNA 10",148
"RF03068","RT-3 RNA",148
"RF03106","RT-11 RNA",147
"RF00113","Short Intergenic Abundant RNA",147
"RF00336","Small nucleolar RNA J26",147
"RF01468","Listeria sRNA rli32",147
"RF01495","Human acetyl-coA cholesterol acyltransferase mRNA",147
"RF01568","Dictyostelium snoRNA DdR18",147
"RF02121","FTX transcript, XIST regulator conserved region 3",147
"RF02370","Bacillus tryptophan operon leader",147
"RF02413","Small nucleolar RNA snoR145",147
"RF02481","Small nucleolar RNA GlsR18",147
"RF02487","Small nucleolar RNA GlsR24",147
"RF01433","small nucleolar RNA snoR137",146
"RF01669","Pseudomonas sRNA P14",146
"RF01875","Myocardial infarction associated transcript exon 5 conserved region 1",146
"RF02049","Salmonella enterica sRNA STnc460",146
"RF02342","Alphaproteobacterial sRNA ar7",146
"RF02488","Small nucleolar RNA GlsR25",146
"RF00067","Small nucleolar RNA SNORD15",145
"RF00101","SraC/RyeA RNA",145
"RF00545","Small nucleolar RNA psi18S-841/snoR66",145
"RF00926","microRNA MIR1151",145
"RF01436","small nucleolar RNA snR33",145
"RF01606","small nucleolar RNA snoR31",145
"RF01864","small nucleolar RNA snoR21",145
"RF01882","Taurine upregulated gene 1 conserved region 1",145
"RF01979","HOX antisense intergenic RNA myeloid 1 conserved region 5",145
"RF02339","Giardia snoRNA GlsR17/miRNA miR2",145
"RF02714","Small nucleolar RNA psi28S-3378",145
"RF02921","RT-14 RNA",144
"RF00492","small Cajal body-specific RNA 17",144
"RF01236","Small nucleolar RNA U19",144
"RF01443","small nucleolar RNA snR91",144
"RF01444","small nucleolar RNA snR92",144
"RF01815","rpsB sRNA",144
"RF02045","CDKN2B antisense RNA 1 convserved region 3",144
"RF02148","MEST intronic transcript 1, antisense RNA conserved region 1",144
"RF02346","Alphaproteobacterial sRNA ar35",144
"RF02363","Cyanobacterial functional RNA 11",144
"RF02412","Small nucleolar RNA snoR144",144
"RF02652","Salmonella enterica Typhi npcRNA 3",144
"RF02653","Salmonella enterica Typhi npcRNA 143",144
"RF02662","Bacillus asRNA 0872",144
"RF00272","Small nucleolar RNA SNORA67",143
"RF00541","Small nucleolar RNA psi28S-2876",143
"RF00544","Small nucleolar RNA psi28S-3327",143
"RF00600","Small nucleolar RNA SNORA79",143
"RF01396","isrN Hfq binding RNA",143
"RF01431","small nucleolar RNA snoR135",143
"RF01435","small nucleolar RNA snR5",143
"RF01448","small nucleolar RNA snR93",143
"RF01602","small nucleolar RNA snoR27",143
"RF01732","MarS sRNA",143
"RF01736","flg-Rhizobiales RNA",143
"RF01969","Rhabdomyosarcoma 2 associated transcript conserved region 8",143
"RF02453","Bacillus sRNA ncr952",143
"RF02642","S. pyogenes small RNA Spy491311c",143
"RF02693","psm_mec locus RNA",143
"RF02879","Mesorhizobail RNA 10",143
"RF02669","Drosophila small cajal body-specific RNA PsiU6-40",142
"RF00925","microRNA MIR1027",142
"RF01291","Small nucleolar RNA SNORD97",142
"RF01408","sraL Hfq binding RNA",142
"RF01608","Caenorhabditis snoRNA ceN80",142
"RF01718","Polynucleobacter-1 RNA",142
"RF01778","Embryonic ventral forebrain-2 long ncRNA",142
"RF01828","Small pathogenicity island RNA D",142
"RF01865","Manganese dependent ribozyme in Vg1 mRNA",142
"RF02535","ODC internal ribosome entry site (IRES)",142
"RF00394","Small nucleolar RNA SNORA4",141
"RF00565","Small Cajal body specific RNA 3",141
"RF01640","Caenorhabditis snoRNA ceN51",141
"RF02035","IMES-2 RNA motif",141
"RF02123","FTX transcript, XIST regulator conserved region 4",141
"RF02318","Tetrahymena snoRNA TtnuHACA11a",141
"RF02634","Enterococcus sRNA EF3314_EF3315",141
"RF03041","poplar-1 RNA",141
"RF03083","cow-rumen-3 RNA",141
"RF03096","RAGATH-19 RNA",141
"RF02768","Yersinia sRNA 155(RyfD)",140
"RF03005","lysM-TM7 RNA",140
"RF00015","U4 spliceosomal RNA",140
"RF00050","FMN riboswitch (RFN element)",140
"RF00290","Bamboo mosaic potexvirus (BaMV) cis-regulatory element",140
"RF00291","Small nucleolar RNA snoR639/H1",140
"RF00409","Small nucleolar RNA SNORA7",140
"RF00429","Small nucleolar RNA SNORA29",140
"RF00482","Small nucleolar RNA F1/F2/snoR5a",140
"RF00543","Small nucleolar RNA psi18S-1377",140
"RF00564","Small Cajal body specific RNA 11",140
"RF00602","Small Cajal body specific RNA 21",140
"RF00782","microRNA MIR480",140
"RF01456","Vibrio regulatory RNA of OmpA",140
"RF01612","Nematode snoRNA ceN105",140
"RF01660","Nematode snoRNA ceN88",140
"RF02154","Non-protein coding RNA, upstream of F2R/PAR1 conserved region 1",140
"RF02257","Adaptive response 33 conserved region 3",140
"RF02356","Alphaproteobacterial sRNA BjrC1505",140
"RF02431","Streptococcus sRNA SpF22",140
"RF02666","Drosophila small cajal body-specific RNA PsiU2-35.45",140
"RF00321","Small nucleolar RNA Z247",139
"RF00393","Small nucleolar RNA SNORA8",139
"RF00557","Ribosomal protein L10 leader",139
"RF00625","Pseudomonas sRNA P11",139
"RF01290","Small nucleolar RNA SNORD10",139
"RF01427","small nucleolar RNA snoR127",139
"RF01645","Nematode snoRNA ceN58",139
"RF02193","T-cell leukemia/lymphoma 6 conserved region 3",139
"RF02782","CpoB/ybgF ICR thermometer",139
"RF00416","Small nucleolar RNA SNORA43",138
"RF00542","Small nucleolar RNA psi28S-1192",138
"RF01234","Small nucleolar RNA SNORA47",138
"RF01453","3'TE-DR1 translation enhancer element",138
"RF01672","Psudomonas sRNA P2",138
"RF01867","caulobacter sRNA CC2171",138
"RF02003","Group II catalytic intron D1-D4-4",138
"RF02184","ST7 overlapping transcript 3 conserved region 2",138
"RF02230","Proteobacterial sRNA sX11",138
"RF00305","Small nucleolar RNA Z248",137
"RF00398","Small nucleolar RNA SNORA15",137
"RF00410","Small nucleolar RNA SNORA2/SNORA34 family",137
"RF00548","U11 spliceosomal RNA",137
"RF00613","Small nucleolar RNA SNORD94",137
"RF01235","Small nucleolar RNA snR68",137
"RF01628","Caenorhabditis snoRNA ceN38",137
"RF01631","Caenorhabditis snoRNA ceN41",137
"RF01644","Caenorhabditis snoRNA ceN59",137
"RF01931","Bithoraxoid conserved region 3",137
"RF02170","Pvt1 oncogene conserved region 7",137
"RF02204","WT1 antisense RNA conserved region 2",137
"RF02369","h2cR sRNA",137
"RF02670","small Cajal body-specific RNA Dm46E3",137
"RF02779","PepN 5' UTR thermometer",136
"RF00379","ydaO/yuaA leader",136
"RF00406","Small nucleolar RNA SNORA42/SNORA80 family",136
"RF00407","Small nucleolar RNA SNORA50",136
"RF00412","Small nucleolar RNA SNORA21",136
"RF00418","Small nucleolar RNA SNORA58",136
"RF00582","Small Cajal body specific RNA 14",136
"RF00690","microRNA MIR408",136
"RF01527","Caulobacter sRNA CrfA",136
"RF01530","Caulobacter sRNA CC3664",136
"RF02132","HOXB13 antisense RNA 1 conserved region 1",136
"RF02492","Giardia U2 spliceosomal RNA",136
"RF02667","Drosophila small cajal body-specific RNA PsiU2-38.40.4",136
"RF00096","U8 small nucleolar RNA",135
"RF00156","Small nucleolar RNA SNORA70",135
"RF00190","Small nucleolar RNA SNORA16B/SNORA16A family",135
"RF00397","Small nucleolar RNA SNORA14",135
"RF00404","Small nucleolar RNA SNORA46",135
"RF00408","Small nucleolar RNA SNORA1",135
"RF00431","Small nucleolar RNA SNORA55",135
"RF00554","Small nucleolar RNA SNORA48",135
"RF00906","microRNA MIR1122",135
"RF01055","Moco (molybdenum cofactor) riboswitch",135
"RF01620","Nematode snoRNA ceN125",135
"RF01654","Caenorhabditis snoRNA ceN82",135
"RF01671","Pseudomonas sRNA P18",135
"RF01874","Myocardial infarction associated transcript exon 1",135
"RF01963","Rhabdomyosarcoma 2 associated transcript conserved region 2",135
"RF02084","Enterobacteria sRNA STnc130",135
"RF02110","Deleted in lymphocytic leukemia 2 conserved region 6",135
"RF02124","JPX transcript, XIST activator conserved region 1",135
"RF02316","Tetrahymena snoRNA TtnuHACA9",135
"RF02330","Tetrahymena snoRNA TtnuHACA23",135
"RF02536","Avian encephalitis virus (AEV) cis-acting replication element (CRE)",135
"RF02633","Hfq-regulated sRNA 21",135
"RF00056","Small nucleolar RNA SNORA71",134
"RF00072","Small nucleolar RNA SNORA75",134
"RF00264","Small nucleolar RNA SNORA64/SNORA10 family",134
"RF00392","Small nucleolar RNA SNORA5",134
"RF00396","Small nucleolar RNA SNORA13",134
"RF00414","Small nucleolar RNA SNORA22",134
"RF00419","Small nucleolar RNA SNORA52",134
"RF00645","microRNA MIR169_2",134
"RF01229","Small nucleolar RNA SNORA84",134
"RF01231","Small nucleolar RNA snoR74",134
"RF01233","Small nucleolar RNA U109",134
"RF01486","Listeria sRNA rli62",134
"RF01639","Caenorhabditis snoRNA ceN49",134
"RF01816","RNA Staph. aureus A",134
"RF01927","microRNA MIR1222",134
"RF01941","microRNA MIR1223",134
"RF02206","WT1 antisense RNA conserved region 4",134
"RF02320","Tetrahymena snoRNA TtnuHACA13",134
"RF02334","Tetrahymena snoRNA TtnuHACA28",134
"RF02572","Brucella babR 5'UTR",134
"RF02734","Corynebacterium sRNA 105",134
"RF02906","Archaeal Small RNA 154",134
"RF02957","EFASI RNA",134
"RF03035","nqrA-Marinomonas RNA",134
"RF02704","LcrF intergenic thermometer",133
"RF00155","Small nucleolar RNA SNORA66",133
"RF00166","PrrB/RsmZ RNA family",133
"RF00263","Small nucleolar RNA SNORA68",133
"RF00403","Small nucleolar RNA SNORA41",133
"RF00411","Small nucleolar RNA SNORA9",133
"RF00432","Small nucleolar RNA SNORA51",133
"RF00546","Small nucleolar RNA psi28S-3316",133
"RF00562","Small nucleolar RNA SNORA49",133
"RF00618","U4atac minor spliceosomal RNA",133
"RF00677","microRNA MIR168",133
"RF02168","Pvt1 oncogene conserved region 5",133
"RF02321","Tetrahymena snoRNA TtnuHACA14",133
"RF00038","PrfA thermoregulator UTR",132
"RF00139","Small nucleolar RNA SNORA72",132
"RF00265","Small nucleolar RNA SNORA69",132
"RF00340","Small nucleolar RNA SNORA36 family",132
"RF00420","Small nucleolar RNA SNORA61",132
"RF00425","Small nucleolar RNA SNORA18",132
"RF00560","Small nucleolar RNA SNORA17",132
"RF00598","Small nucleolar RNA SNORA76",132
"RF01221","Small nucleolar RNA U6-47",132
"RF01607","C. elegans snoRNA ceN100",132
"RF01755","rmf RNA",132
"RF01981","Prostate-specific transcript 1",132
"RF02033","HNH endonuclease-associated RNA and ORF (HEARO) RNA",132
"RF02048","Salmonella enterica conserved region STnc30",132
"RF02312","Tetrahymena snoRNA TtnuHACA5",132
"RF02446","Streptococcus sRNA SpR18",132
"RF00235","Plasmid RNAIII",131
"RF00286","Small Cajal body specific RNA 8",131
"RF00334","Small nucleolar RNA SNORA3/SNORA45 family",131
"RF00399","Small nucleolar RNA SNORA24",131
"RF00405","Small nucleolar RNA SNORA44",131
"RF00413","Small nucleolar RNA SNORA19",131
"RF00428","Small nucleolar RNA SNORA38",131
"RF00908","microRNA MIR529",131
"RF00975","microRNA MIR845_2",131
"RF01230","Small nucleolar RNA snoR77",131
"RF01591","small nucleolar RNA snoR15",131
"RF01617","Caenorhabditis snoRNA ceN113",131
"RF01621","Caenorhabditis snoRNA ceN126",131
"RF01629","Nematode snoRNA ceN39",131
"RF01653","Caenorhabditis snoRNA ceN80",131
"RF01656","Nematode sRNA ceN72-3_ceN74-2",131
"RF01663","Caenorhabditis sRNA ceN93",131
"RF01689","AdoCbl variant RNA",131
"RF01692","Bacteroidete tryptophan peptide leader RNA",131
"RF01774","Rickettsia rpsL leader",131
"RF02161","Prostate androgen-regulated transcript 1 conserved region 3",131
"RF02313","Tetrahymena snoRNA TtnuHACA6",131
"RF02319","Tetrahymena snoRNA TtnuHACA12",131
"RF02698","Avalong 5' UTR thermometer",131
"RF02718","Small Cajal body specific RNA ncR14",131
"RF02826","Streptomyces RNA 6925",131
"RF03105","RAGATH-7-assoc RNA",131
"RF02692","Burkholderia sRNA 39",130
"RF02832","Streptomyces RNA 5676",130
"RF02845","Enterococcus sRNA 1C",130
"RF02883","Burkholderia sRNA 2",130
"RF03062","xerDC RNA",130
"RF00060","HgcE RNA (Pab105)",130
"RF00062","HgcC family RNA",130
"RF00092","Small nucleolar RNA SNORA63",130
"RF00322","Small nucleolar RNA SNORA31",130
"RF00391","RtT RNA",130
"RF00422","Small Cajal body specific RNA 24",130
"RF00437","Hairy RNA localisation element (HLE)",130
"RF00438","Small nucleolar RNA SNORA33",130
"RF00601","Small Cajal body specific RNA 20",130
"RF00640","microRNA MIR167_1",130
"RF01084","Pseudoknot of tRNA-like structure",130
"RF01400","istR Hfq binding RNA",130
"RF01627","Nematode snoRNA ceN36-1",130
"RF01632","Caenorhabditis snoRNA ceN42",130
"RF01649","Caenorhabditis snoRNA ceN67",130
"RF01655","Caenorhabditis snoRNA ceN84",130
"RF02065","Enterobacterial sRNA STnc340",130
"RF02315","Tetrahymena snoRNA TtnuHACA8",130
"RF02325","Tetrahymena snoRNA TtnuHACA18",130
"RF02328","Tetrahymena snoRNA TtnuHACA21",130
"RF00182","Coronavirus packaging signal",129
"RF00312","Small nucleolar RNA Z206",129
"RF00348","Small nucleolar RNA snoR9",129
"RF00415","Small nucleolar RNA SNORA30/SNORA37 family",129
"RF00417","Small nucleolar RNA SNORA56",129
"RF00423","Small Cajal body specific RNA 4",129
"RF00430","Small nucleolar RNA SNORA54",129
"RF00566","Small nucleolar RNA SNORA35",129
"RF00614","Small nucleolar RNA SNORA11",129
"RF00865","microRNA MIR169_5",129
"RF01224","Small nucleolar RNA snoR80",129
"RF01227","Small nucleolar RNA snoR83",129
"RF01385","isrA Hfq binding RNA",129
"RF01633","Caenorhabditis snoRNA ceN43",129
"RF02174","SMAD5 antisense RNA 1 conserved region 2",129
"RF02314","Tetrahymena snoRNA TtnuHACA7",129
"RF02516","mir-393 microRNA precursor family",129
"RF02818","Vibrio RNA AS5",129
"RF03104","RAGATH-36 RNA",129
"RF02916","atpB RNA",128
"RF03094","LAGLIDADG-2 RNA",128
"RF00065","Small nucleolar RNA snoR9",128
"RF00401","Small nucleolar RNA SNORA20",128
"RF00402","Small nucleolar RNA SNORA25",128
"RF00426","Small Cajal body specific RNA 15",128
"RF00561","Small nucleolar RNA SNORA40",128
"RF00792","microRNA mir-490",128
"RF01225","Small nucleolar RNA ACA64",128
"RF01228","Small nucleolar RNA snoR111",128
"RF01635","Caenorhabditis snoRNA ceN45",128
"RF01664","Caenorhabditis snoRNA ceN101",128
"RF01773","Pseudomonas rpsL leader",128
"RF01966","Rhabdomyosarcoma 2 associated transcript conserved region 5",128
"RF01984","ZEB2 antisense RNA 1 conserved region 1",128
"RF02393","Staphylococcus sRNA sau-59",128
"RF02526","Streptococcus sRNA SSRC34",128
"RF02531","Nrf2 internal ribosome entry site (IRES)",128
"RF02615","Brucella sRNA 0626",128
"RF02646","Ruegeria cis8 sRNA",128
"RF00302","Small nucleolar RNA SNORA65",127
"RF00443","Small nucleolar RNA SNORA27",127
"RF00463","Apolipoprotein B (apoB) 5' UTR cis-regulatory element",127
"RF00514","Histidine operon leader",127
"RF00558","Ribosomal protein L20 leader",127
"RF01590","small nucleolar RNA snoR14",127
"RF02118","FMR1 antisense RNA 1 conserved region 2",127
"RF02331","Tetrahymena snoRNA TtnuHACA24",127
"RF02705","Brassica rapa small nucleolar RNA 775",127
"RF03022","RT-10 RNA",127
"RF03112","Staphylococcus-1 RNA",127
"RF00075","mir-166 microRNA precursor",126
"RF00099","Small nucleolar RNA SNORD22",126
"RF00400","Small nucleolar RNA SNORA28",126
"RF00515","PyrR binding site",126
"RF00619","U6atac minor spliceosomal RNA",126
"RF01053","Deinococcus radiodurans Y RNA",126
"RF01593","small nucleolar RNA snoR16",126
"RF01614","Caenorhabditis snoRNA ceN110",126
"RF01658","Caenorhabditis snoRNA ceN81",126
"RF01661","Caenorhabditis snoRNA ceN92",126
"RF01881","X-chromosome inactivation gene exon 4",126
"RF02192","T-cell leukemia/lymphoma 6 conserved region 2",126
"RF00427","Small Cajal body specific RNA 23",125
"RF00599","Small nucleolar RNA SNORA77",125
"RF01069","purD RNA motif",125
"RF01636","Caenorhabditis snoRNA ceN46",125
"RF01638","Caenorhabditis snoRNA ceN48",125
"RF01643","Caenorhabditis sRNA ceN56",125
"RF01859","Phenylalanine leader peptide",125
"RF01975","HOX antisense intergenic RNA myeloid 1 conserved region 1",125
"RF02175","SMAD5 antisense RNA 1 conserved region 3",125
"RF02277","Hammerhead ribozyme HH10",125
"RF02618","Streptococcus sRNA 34",125
"RF02828","Streptomyces RNA 3920",125
"RF03000","LOOT RNA",125
"RF02766","Yersinia sRNA 49",124
"RF02809","RsmW RNA family",124
"RF02840","Enterococcus sRNA 68 (Lacto-3 RNA)",124
"RF02889","Pseudomonas sRNA 6",124
"RF00721","microRNA MIR475",124
"RF00958","microRNA mir-498",124
"RF01089","Pseudoknot of the regulatory region of the repBA gene",124
"RF01223","Small nucleolar RNA snR13",124
"RF01405","STnc490 Hfq binding RNA",124
"RF01659","Caenorhabditis snoRNA ceN86",124
"RF01769","Enterobacteria greA leader",124
"RF01925","microRNA MIR1428",124
"RF02058","Gammaproteobacterial sRNA STnc400",124
"RF02131","GNAS antisense RNA 1 conserved region 5",124
"RF02242","Xanthomonadaceae sRNA Xoo5",124
"RF02505","Rhizobiales sRNA Atu_L6",124
"RF02555","mt-5S-like H. vermiformis",124
"RF00121","MicC RNA",123
"RF00303","Small nucleolar RNA snoR86",123
"RF00311","Small nucleolar RNA Z188",123
"RF00689","microRNA MIR390",123
"RF01222","Small nucleolar RNA sn2417",123
"RF01387","isrC Hfq binding RNA",123
"RF01454","5'UTR enhancer element",123
"RF01630","Nematode snoRNA ceN40",123
"RF01802","Herpesvirus saimiri U RNA1/RNA2",123
"RF01821","RNA Staph. aureus H",123
"RF02327","Tetrahymena snoRNA TtnuHACA20",123
"RF02344","Alphaproteobacterial ar14",123
"RF02447","Streptococcus sRNA SpR19",123
"RF02594","Nitrogen stress-induced RNA 9",123
"RF02713","Mycoplasma sRNA MCS4",123
"RF02756","ES239 sRNA",123
"RF02835","Burkholderia RNA 11",122
"RF02841","Enterococcus sRNA 70",122
"RF03016","RT-12 RNA",122
"RF03025","RT-4 RNA",122
"RF03076","Streptomyces-metH RNA",122
"RF00516","ylbH leader",122
"RF00568","Small nucleolar RNA SNORA26",122
"RF00768","microRNA MIR405",122
"RF01955","Nuclear enriched abundant transcript 1 conserved region 1",122
"RF02130","GNAS antisense RNA 1 conserved region 4",122
"RF02458","Aureusvirus cap-independent translation element",122
"RF02502","Rhizobiales sRNA Atu_C8",122
"RF02579","S. aureus tsr26 small RNA",122
"RF00041","Enteroviral 3' UTR element",121
"RF00195","RsmY RNA family",121
"RF00421","Small nucleolar RNA SNORA32",121
"RF00483","Insulin-like growth factor II IRES",121
"RF01490","Listeria snRNA rli51",121
"RF01650","Caenorhabditis snoRNA ceN48",121
"RF02039","SPRY4-IT1 conserved region 2",121
"RF02105","Deleted in lymphocytic leukemia 2 conserved region 1",121
"RF02208","WT1 antisense RNA conserved region 6",121
"RF02268","MtlS RNA",121
"RF02310","Tetrahymena snoRNA TtnuHACA2",121
"RF02326","Tetrahymena snoRNA TtnuHACA19",121
"RF02449","Bacillus sRNA ncr1015",121
"RF02491","Giardia U1 spliceosomal RNA",121
"RF00833","microRNA mir-70",120
"RF01429","small nucleolar RNA snoR130",120
"RF01915","microRNA mir-2238",120
"RF01942","microRNA mir-1937",120
"RF01943","microRNA mir-999",120
"RF02429","Streptococcus sRNA SpF14",120
"RF02550","RnaG sRNA",120
"RF02854","Yersinia sRNA 100",120
"RF02932","Betaproteobacteria-1 RNA",120
"RF02966","DUF3268 RNA",120
"RF02976","Flavobacterium-1 RNA",120
"RF02989","gntR-DTE RNA",120
"RF02775","SodB 5' UTR thermometer",119
"RF00001","5S ribosomal RNA",119
"RF00294","Small nucleolar RNA TBR17",119
"RF00452","mir-172 microRNA precursor family",119
"RF00627","Pseudomonas sRNA P15",119
"RF00797","microRNA mir-355",119
"RF01796","Fumarate/nitrate reductase regulator sRNA",119
"RF01858","RNA Staph. aureus F",119
"RF02128","GNAS antisense RNA 1 conserved region 2",119
"RF02472","Giardia RNase MRP",119
"RF00383","Insertion sequence IS1222 ribosomal frameshifting element",118
"RF00445","mir-399 microRNA precursor family",118
"RF00506","Threonine operon leader",118
"RF00635","Highly accelerated region 1A/1B",118
"RF00648","microRNA MIR396",118
"RF01085","Pseudoknot of tRNA-like structure",118
"RF01094","Polymerase ribosomal frameshift site",118
"RF01220","Small nucleolar RNA snoR104",118
"RF01866","C. elegans snoRNA ceN33",118
"RF01999","Group II catalytic intron D1-D4-2",118
"RF02114","FAM13A antisense RNA 1 conserved region 1",118
"RF02324","Tetrahymena snoRNA TtnuHACA17",118
"RF02469","Actinobacteria sRNA Ms_IGR-7",118
"RF02839","Enterococcus sRNA 66",118
"RF02899","Aggregatibacter sRNA 54",118
"RF02781","ManX 5' UTR thermometer",117
"RF02903","Aggregatibacter sRNA 96",117
"RF02981","FTHFS RNA",117
"RF03063","Streptomyces-metK RNA",117
"RF00114","Ribosomal S15 leader",117
"RF00307","Small nucleolar RNA snoR98",117
"RF00360","Small nucleolar RNA Z107/R87",117
"RF00704","microRNA MIR397",117
"RF01497","ALIL pseudoknot",117
"RF01735","epsC RNA",117
"RF01912","microRNA mir-2807",117
"RF02179","ST7 antisense RNA 1 conserved region 1",117
"RF02287","Tetrahymena snoRNA TtnuCD10",117
"RF02322","Tetrahymena snoRNA TtnuHACA15",117
"RF02323","Tetrahymena snoRNA TtnuHACA16",117
"RF02518","mir-2494 microRNA precursor family",117
"RF00016","Small nucleolar RNA SNORD14",116
"RF00020","U5 spliceosomal RNA",116
"RF00499","Human parechovirus 1 (HPeV1) cis regulatory element (CRE)",116
"RF00634","S-adenosyl methionine (SAM) riboswitch,",116
"RF00989","microRNA mir-492",116
"RF01219","Small nucleolar RNA snoR100",116
"RF01719","Pseudomon-1/ErsA RNA",116
"RF01936","microRNA mir-63",116
"RF01948","KCNQ1 overlapping transcript 1 conserved region 3",116
"RF01956","Nuclear enriched abundant transcript 1 conserved region 2",116
"RF01974","H19 conserved region 3",116
"RF02185","ST7 overlapping transcript 3 conserved region 3",116
"RF02622","Brucella sRNA 121",116
"RF02728","Haemophilus regulatory RNA responsive to iron",116
"RF02730","Aggregatibacter sRNA JA02",116
"RF02740","Soft rot Enterobacteriaceae Fwd 6 3'UTR",116
"RF02908","Listeria sRNA rli30",116
"RF03043","Prevotella-2 RNA",116
"RF03066","COG3610-DE RNA",116
"RF02748","Francisella sRNA B",115
"RF02810","Lst 5' UTR thermometer",115
"RF02856","Leptospira sRNA 30_292",115
"RF00021","Spot 42 RNA",115
"RF00201","Small nucleolar RNA Z278",115
"RF00746","microRNA mir-454",115
"RF00800","microRNA mir-353",115
"RF00842","microRNA MIR403",115
"RF01056","Magnesium Sensor",115
"RF01465","Listeria sRNA rli31",115
"RF02232","Xanthomonadaceae sRNA sX13",115
"RF02235","Xanthomonadaceae sRNA asX1",115
"RF02461","Blackcurrant reversion virus cap-independent translation element",115
"RF02556","snaR-A sRNA",115
"RF00122","GadY",114
"RF00485","Potassium channel RNA editing signal",114
"RF00578","Small nucleolar RNA SNORD89",114
"RF00718","microRNA mir-431",114
"RF01027","microRNA mir-765",114
"RF01926","microRNA mir-981",114
"RF02010","microRNA mir-3180",114
"RF02030","tp2",114
"RF02115","FAM13A antisense RNA 1 conserved region 2",114
"RF02144","rsmX",114
"RF02489","Small nucleolar RNA GlsR26",114
"RF02533","Hepatitis A virus (HAV) cis-acting replication element (CRE)",114
"RF02553","Y RNA-like",114
"RF02821","Vibrio RNA IGR5",114
"RF02887","Salmonella mgtC leader RNA",114
"RF02920","Fusobacteriales-1 RNA",114
"RF02958","drum RNA",114
"RF03007","Mahella-1 RNA",114
"RF02905","Archaeal Small RNA 41",113
"RF02969","DUF3800-I RNA",113
"RF03102","RAGATH-33 RNA",113
"RF00471","Small nucleolar RNA snR48",113
"RF00774","microRNA mir-360",113
"RF00796","microRNA mir-48",113
"RF00804","microRNA mir-240",113
"RF00811","microRNA mir-84",113
"RF01226","Small nucleolar RNA Z5",113
"RF01411","BsrF",113
"RF01418","HIV pol-1 stem loop",113
"RF01565","Dictyostelium snoRNA DdR15",113
"RF02169","Pvt1 oncogene conserved region 6",113
"RF02191","T-cell leukemia/lymphoma 6 conserved region 1",113
"RF02201","TTC28 antisense RNA 1 conserved region 4",113
"RF02309","Tetrahymena snoRNA TtnuHACA1",113
"RF02345","Alphaproteobacterial ar15",113
"RF02421","Burkholderia sRNA Bp1_Cand684_SIPHT",113
"RF02490","Small nucleolar RNA GlsR27",113
"RF02500","EcpR1",113
"RF02617","Streptococcus sRNA 10",113
"RF02629","Regulator of motility and amylovoran A",113
"RF00692","microRNA MIR171_2",112
"RF00723","microRNA mir-448",112
"RF00791","microRNA mir-357",112
"RF00793","microRNA mir-497",112
"RF00821","microRNA mir-249",112
"RF01820","RNA Staph. aureus E (RoxS)",112
"RF01921","microRNA mir-1296",112
"RF02484","Small nucleolar RNA GlsR21",112
"RF02557","Coxiella burnetii sRNA 1",112
"RF02771","CnfY 5' UTR thermometer",112
"RF02822","Streptococcus RNA 266",112
"RF02715","Small nucleolar RNA ncR1",111
"RF02720","Small Cajal body specific RNA ncR21",111
"RF02747","Francisella sRNA A",111
"RF02798","Chromosome-encoded Shigella sRNA A",111
"RF00573","Small nucleolar RNA SNORD67",111
"RF00579","Small nucleolar RNA SNORD90",111
"RF00616","Listeria LhrC",111
"RF00688","microRNA MIR394",111
"RF00790","microRNA mir-358",111
"RF00799","microRNA mir-354",111
"RF00838","microRNA mir-252",111
"RF01218","Small nucleolar RNA snR41",111
"RF01457","Listeria sRNA rli22",111
"RF01503","A. fumigatus sRNA Afu_203",111
"RF01721","Pseudomon-groES RNA",111
"RF01770","Gammaprotebacteria rimP leader",111
"RF02014","microRNA mir-1178",111
